timestamp,port,fuel_type,predicted_price
2026-07-14T00:00:00+00:00,Singapore,MGO,662.0244897007942
2026-07-15T00:00:00+00:00,Singapore,MGO,661.8386074751616
2026-07-16T00:00:00+00:00,Singapore,MGO,661.6958639994264
2026-07-17T00:00:00+00:00,Singapore,MGO,661.5862964317203
2026-07-20T00:00:00+00:00,Singapore,MGO,661.5023586004972
2026-07-21T00:00:00+00:00,Singapore,MGO,661.4378785192966
2026-07-22T00:00:00+00:00,Singapore,MGO,661.3884552419186
2026-07-23T00:00:00+00:00,Singapore,MGO,661.3506414592266
2026-07-24T00:00:00+00:00,Singapore,MGO,661.3216710314155
2026-07-27T00:00:00+00:00,Singapore,MGO,661.2996011450887
2026-07-28T00:00:00+00:00,Singapore,MGO,661.2828503027558
2026-07-29T00:00:00+00:00,Singapore,MGO,661.2700561657548
2026-06-18T00:00:00+00:00,Singapore,VLSFO,608.4744875431061
2026-06-19T00:00:00+00:00,Singapore,VLSFO,590.667737185955
2026-06-22T00:00:00+00:00,Singapore,VLSFO,571.4436343312263
2026-06-23T00:00:00+00:00,Singapore,VLSFO,552.3143314421177
2026-06-24T00:00:00+00:00,Singapore,VLSFO,534.4700101613998
2026-06-25T00:00:00+00:00,Singapore,VLSFO,518.7216199487448
2026-06-26T00:00:00+00:00,Singapore,VLSFO,506.3860392719507
2026-06-29T00:00:00+00:00,Singapore,VLSFO,497.72780162096024
2026-06-30T00:00:00+00:00,Singapore,VLSFO,491.89317401498556
2026-07-01T00:00:00+00:00,Singapore,VLSFO,487.9945514649153
2026-07-02T00:00:00+00:00,Singapore,VLSFO,485.3684042394161
2026-07-03T00:00:00+00:00,Singapore,VLSFO,483.53284987062216
2026-07-06T00:00:00+00:00,Singapore,VLSFO,482.16675966978073
2026-07-07T00:00:00+00:00,Singapore,VLSFO,481.1030988842249
2026-07-08T00:00:00+00:00,Singapore,VLSFO,480.2868721857667
2026-07-09T00:00:00+00:00,Singapore,VLSFO,479.71765222400427
2026-07-10T00:00:00+00:00,Singapore,VLSFO,479.39492905139923
2026-07-13T00:00:00+00:00,Singapore,VLSFO,479.2918891236186
2026-07-14T00:00:00+00:00,Singapore,VLSFO,479.35461267083883
2026-07-15T00:00:00+00:00,Singapore,VLSFO,479.51548855006695
2026-07-16T00:00:00+00:00,Singapore,VLSFO,479.7114305049181
2026-07-17T00:00:00+00:00,Singapore,VLSFO,479.89700292795897
2026-07-20T00:00:00+00:00,Singapore,VLSFO,480.0484806895256
2026-07-21T00:00:00+00:00,Singapore,VLSFO,480.1602777093649
2026-07-22T00:00:00+00:00,Singapore,VLSFO,480.2370966374874
2026-07-23T00:00:00+00:00,Singapore,VLSFO,480.2865795046091
2026-07-24T00:00:00+00:00,Singapore,VLSFO,480.3161618486047
2026-07-27T00:00:00+00:00,Singapore,VLSFO,480.3292229697108
2026-07-28T00:00:00+00:00,Singapore,VLSFO,480.3309736698866
2026-07-29T00:00:00+00:00,Singapore,VLSFO,480.3283772468567
